title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,gender,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,birthdate,oc_email,black_caucus,hispanic_caucus,freedom_caucus
Rep,Diane,,Black,,,R,TN,6,F,http://black.house.gov,https://black.house.gov/contact-me/email-me,1131 Longworth House Office Building,B001273,25292,H0TN06257,412478,N00031539,RepDianeBlack,http://www.opencongress.org/wiki/Diane_Black,1/16/1951,Rep.Black@opencongress.org,0,0,0
Rep,Mo,,Brooks,,,R,AL,5,M,http://brooks.house.gov,https://brooks.house.gov/email-me,1230 Longworth House Office Building,B001274,121610,H0AL05163,412395,N00030910,RepMoBrooks,http://www.opencongress.org/wiki/Mo_Brooks,4/29/1954,Rep.Brooks@opencongress.org,0,0,1
Rep,Larry,,Bucshon,,,R,IN,8,M,http://bucshon.house.gov,https://bucshon.house.gov/contact-me/email-me,1005 Longworth House Office Building,B001275,120335,H0IN08114,412427,N00031227,RepLarryBucshon,http://www.opencongress.org/wiki/Larry_Bucshon,5/31/1962,Rep.Bucshon@opencongress.org,0,0,0
Sen,Richard,,Blumenthal,,,D,CT,Senior Seat,M,http://www.blumenthal.senate.gov,https://www.blumenthal.senate.gov/contact/,706 Hart Senate Office Building,B001277,1568,S0CT00177,412490,N00031685,SenBlumenthal,http://www.opencongress.org/wiki/Richard_Blumenthal,2/13/1946,Sen.Blumenthal@opencongress.org,0,0,0
Rep,Suzanne,,Bonamici,,,D,OR,1,F,http://bonamici.house.gov,https://bonamici.house.gov/contact-me/email-me,439 Cannon House Office Building,B001278,59641,H2OR01133,412501,N00033474,RepBonamici,http://www.opencongress.org/wiki/Suzanne_Bonamici,10/14/1954,Rep.Bonamici@opencongress.org,0,0,0
Rep,Joyce,,Beatty,,,D,OH,3,F,http://beatty.house.gov,https://beattyforms.house.gov/forms/writeyourrep/,133 Cannon House Office Building,B001281,2427,H2OH03125,412565,N00033904,RepBeatty,,3/12/1950,Rep.Beatty@opencongress.org,1,0,0
Rep,Garland,,Barr,,Andy,R,KY,6,M,https://barr.house.gov,https://barr.house.gov/contact/email-me,1432 Longworth House Office Building,B001282,117290,H0KY06104,412541,N00031233,RepAndyBarr,,7/24/1973,Rep.Barr@opencongress.org,0,0,0
Rep,Jim,,Bridenstine,,,R,OK,1,M,http://bridenstine.house.gov,https://bridenstineforms.house.gov/forms/writeyourrep/,216 Cannon House Office Building,B001283,135894,H2OK01143,412567,N00033532,RepJBridenstine,,6/15/1975,Rep.Bridenstine@opencongress.org,0,0,1
Rep,Susan,W.,Brooks,,,R,IN,5,F,http://susanwbrooks.house.gov,https://susanwbrooks.house.gov/contact/email-me,1505 Longworth House Office Building,B001284,135988,H2IN05082,412539,N00033495,SusanWBrooks,,8/25/1960,Rep.Susanwbrooks@opencongress.org,0,0,0
Rep,Julia,,Brownley,,,D,CA,26,F,http://juliabrownley.house.gov,https://juliabrownley.house.gov/contact/email-me,1019 Longworth House Office Building,B001285,59904,H2CA00120,412516,N00034254,JuliaBrownley26,,8/28/1952,Rep.Juliabrownley@opencongress.org,0,0,0
Rep,Cheri,,Bustos,,,D,IL,17,F,http://bustos.house.gov,http://bustos.house.gov/contact,1009 Longworth House Office Building,B001286,134964,H2IL17071,412537,N00033390,RepCheri,,10/17/1961,Rep.Bustos@opencongress.org,0,0,0
Rep,Ami,,Bera,,,D,CA,7,M,http://bera.house.gov,https://beraforms.house.gov/forms/writeyourrep/,1535 Longworth House Office Building,B001287,120030,H0CA03078,412512,N00030717,RepBera,,3/2/1965,Rep.Bera@opencongress.org,0,0,0
Sen,Cory,Anthony,Booker,,,D,NJ,Junior Seat,M,http://www.booker.senate.gov,http://www.booker.senate.gov/?p=contact,359 Dirksen Senate Office Building,B001288,76151,S4NJ00185,412598,N00035267,CoryBooker,,4/27/1969,Sen.Booker@opencongress.org,1,0,0
Rep,Bradley,,Byrne,,,R,AL,1,M,https://byrne.house.gov,https://byrne.house.gov/contact/email-me,119 Cannon House Office Building,B001289,27584,H4AL01123,412601,N00035380,RepByrne,,2/16/1955,Rep.Byrne@opencongress.org,0,0,0
Rep,David,Alan,Brat,,Dave,R,VA,7,M,http://brat.house.gov,http://brat.house.gov/contact,330 Cannon House Office Building,B001290,,H4VA07143,412605,N00036013,RepDaveBrat,,7/27/1964,Rep.Brat@opencongress.org,0,0,1
Rep,Brian,,Babin,,,R,TX,36,M,http://babin.house.gov,,316 Cannon House Office Building,B001291,,H6TX02079,412655,N00005736,RepBrianBabin,,3/23/1948,Rep.Babin@opencongress.org,0,0,0
Rep,Donald,,Beyer,,,D,VA,8,M,http://beyer.house.gov,,431 Cannon House Office Building,B001292,,H4VA08224,412657,N00036018,repdonbeyer,,6/20/1950,Rep.Beyer@opencongress.org,0,0,0
Rep,Mike,,Bishop,,,R,MI,8,M,https://mikebishop.house.gov,,428 Cannon House Office Building,B001293,,H4MI08135,412635,N00036449,RepMikeBishop,,3/18/1967,Rep.Mikebishop@opencongress.org,0,0,0
Rep,Rod,,Blum,,,R,IA,1,M,https://blum.house.gov,,213 Cannon House Office Building,B001294,,H2IA01055,412627,N00033744,RepRodBlum,,4/26/1955,Rep.Blum@opencongress.org,0,0,1
Rep,Mike,,Bost,,,R,IL,12,M,https://bost.house.gov,,1440 Longworth House Office Building,B001295,,H4IL12060,412629,N00035420,RepBost,,12/30/1960,Rep.Bost@opencongress.org,0,0,0
Rep,Brendan,,Boyle,,,D,PA,13,M,https://boyle.house.gov,,118 Cannon House Office Building,B001296,,H4PA13199,412652,N00035307,RepBrendanBoyle,,2/6/1977,Rep.Boyle@opencongress.org,0,0,0
Rep,Ken,,Buck,,,R,CO,4,M,https://buck.house.gov,,416 Cannon House Office Building,B001297,,S0CO00237,412619,N00030829,RepKenBuck,,2/16/1959,Rep.Buck@opencongress.org,0,0,1
Rep,Ken,S.,Calvert,,,R,CA,42,M,http://calvert.house.gov,https://calvert.house.gov/contactform/,2205 Rayburn House Office Building,C000059,26777,H2CA37023,400057,N00007099,KenCalvert,http://www.opencongress.org/wiki/Ken_Calvert,6/8/1953,Rep.Calvert@opencongress.org,0,0,0
Sen,Maria,,Cantwell,,,D,WA,Junior Seat,F,https://www.cantwell.senate.gov,http://www.cantwell.senate.gov/public/index.cfm/email-maria,511 Hart Senate Office Building,C000127,27122,S8WA00194,300018,N00007836,SenatorCantwell,http://www.opencongress.org/wiki/Maria_Cantwell,10/13/1958,Sen.Cantwell@opencongress.org,0,0,0
Sen,Benjamin,L.,Cardin,,,D,MD,Junior Seat,M,https://www.cardin.senate.gov,http://www.cardin.senate.gov/contact/,509 Hart Senate Office Building,C000141,26888,H6MD03177,400064,N00001955,SenatorCardin,http://www.opencongress.org/wiki/Benjamin_Cardin,10/5/1943,Sen.Cardin@opencongress.org,0,0,0
Sen,Thomas,Richard,Carper,,,D,DE,Senior Seat,M,http://www.carper.senate.gov/public,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,513 Hart Senate Office Building,C000174,22421,S8DE00079,300019,N00012508,SenatorCarper,http://www.opencongress.org/wiki/Thomas_Carper,1/23/1947,Sen.Carper@opencongress.org,0,0,0
Rep,Steve,J.,Chabot,,,R,OH,1,M,http://chabot.house.gov,https://chabot.house.gov/forms/writeyourrep/?zip5=45202&zip4=3003,2371 Rayburn House Office Building,C000266,21790,H8OH01043,400071,N00003689,RepSteveChabot,http://www.opencongress.org/wiki/Steven_Chabot,1/22/1953,Rep.Chabot@opencongress.org,0,0,0
Rep,James,E.,Clyburn,,Jim,D,SC,6,M,http://clyburn.house.gov,https://clyburn.house.gov/contact-me/email-me,242 Cannon House Office Building,C000537,27066,H2SC02042,400075,N00002408,Clyburn,http://www.opencongress.org/wiki/James_Clyburn,7/21/1940,Rep.Clyburn@opencongress.org,1,0,0
Sen,Daniel,Ray,Coats,,,R,IN,Senior Seat,M,http://www.coats.senate.gov,http://www.coats.senate.gov/contact/,493 Russell Senate Office Building,C000542,53291,S0IN00053,402675,N00003845,SenDanCoats,http://www.opencongress.org/wiki/Daniel_Coats,5/16/1943,Sen.Coats@opencongress.org,0,0,0
Sen,Thad,,Cochran,,,R,MS,Senior Seat,M,http://www.cochran.senate.gov,http://www.cochran.senate.gov/public/index.cfm/email-me,113 Dirksen Senate Office Building,C000567,53312,S8MS00055,300023,N00003328,SenThadCochran,http://www.opencongress.org/wiki/Thad_Cochran,12/7/1937,Sen.Cochran@opencongress.org,0,0,0
Rep,John,,Conyers,Jr.,,D,MI,13,M,https://conyers.house.gov,https://conyers.house.gov/index.cfm/online-contact-form,2426 Rayburn House Office Building,C000714,26904,H6MI01028,400080,N00004029,RepJohnConyers,http://www.opencongress.org/wiki/John_Conyers,5/16/1929,Rep.Conyers@opencongress.org,1,0,0
Rep,Jim,,Cooper,,,D,TN,5,M,http://cooper.house.gov,https://cooper.house.gov/contact/email-me,1536 Longworth House Office Building,C000754,48891,H2TN05131,400081,N00003132,RepJimCooper,http://www.opencongress.org/wiki/Jim_Cooper,6/19/1954,Rep.Cooper@opencongress.org,0,0,0
Sen,Michael,D.,Crapo,,,R,ID,Senior Seat,M,http://www.crapo.senate.gov,http://www.crapo.senate.gov/contact/email.cfm,239 Dirksen Senate Office Building,C000880,26830,S8ID00027,300030,N00006267,MikeCrapo,http://www.opencongress.org/wiki/Michael_Crapo,5/20/1951,Sen.Crapo@opencongress.org,0,0,0
Rep,Elijah,E.,Cummings,,,D,MD,7,M,http://cummings.house.gov,https://cummings.house.gov/contact-me/email-me,2230 Rayburn House Office Building,C000984,345,H6MD07160,400090,N00001971,RepCummings,http://www.opencongress.org/wiki/Elijah_Cummings,1/18/1951,Rep.Cummings@opencongress.org,1,0,0
Sen,Susan,M.,Collins,,,R,ME,Senior Seat,F,https://www.collins.senate.gov,http://www.collins.senate.gov/public/index.cfm/email,413 Dirksen Senate Office Building,C001035,379,S6ME00159,300025,N00000491,SenatorCollins,http://www.opencongress.org/wiki/Susan_Collins,12/7/1952,Sen.Collins@opencongress.org,0,0,0
Rep,Lois,,Capps,,,D,CA,24,F,http://capps.house.gov,https://capps.house.gov/contact-me/email-me,2231 Rayburn House Office Building,C001036,16886,H8CA22089,400062,N00007232,RepLoisCapps,http://www.opencongress.org/wiki/Lois_Capps,1/10/1938,Rep.Capps@opencongress.org,0,0,0
Rep,Michael,E.,Capuano,,,D,MA,7,M,http://capuano.house.gov,http://www.house.gov/capuano/contact/email.shtml,1414 Longworth House Office Building,C001037,18883,H8MA08071,400063,N00000267,,http://www.opencongress.org/wiki/Michael_Capuano,1/9/1952,Rep.Capuano@opencongress.org,0,0,0
Rep,Joseph,,Crowley,,Joe,D,NY,14,M,http://crowley.house.gov,https://crowley.house.gov/contact-me/email-me,1436 Longworth House Office Building,C001038,4295,H8NY07046,400087,N00001127,RepJoeCrowley,http://www.opencongress.org/wiki/Joseph_Crowley,3/16/1962,Rep.Crowley@opencongress.org,0,0,0
Rep,Ander,,Crenshaw,,,R,FL,4,M,https://crenshaw.house.gov,https://forms.house.gov/write/crenshaw/email-me.shtml,2161 Rayburn House Office Building,C001045,31130,H0FL04066,400086,N00012739,AnderCrenshaw,http://www.opencongress.org/wiki/Ander_Crenshaw,9/1/1944,Rep.Crenshaw@opencongress.org,0,0,0
Sen,Shelley,Moore,Capito,,,R,WV,Junior Seat,F,https://www.capito.senate.gov,,172 Russell Senate Office Building,C001047,11701,H0WV02138,400061,N00009771,SenCapito,http://www.opencongress.org/wiki/Shelley_Moore_Capito,11/26/1953,Sen.Capito@opencongress.org,0,0,0
Rep,John,Abney,Culberson,,,R,TX,7,M,http://culberson.house.gov,https://culbersonforms.house.gov/forms/writeyourrep/default.aspx,2372 Rayburn House Office Building,C001048,5488,H0TX07055,400089,N00009738,CongCulberson,http://www.opencongress.org/wiki/John_Culberson,8/24/1956,Rep.Culberson@opencongress.org,0,0,0
Rep,Wm.,Lacy,Clay,Jr.,,D,MO,1,M,http://lacyclay.house.gov,http://lacyclay.house.gov/contact-form/,2428 Rayburn House Office Building,C001049,8967,H0MO01066,400074,N00012460,,http://www.opencongress.org/wiki/William_Lacy_Clay,7/27/1956,Rep.Lacyclay@opencongress.org,1,0,0
Rep,John,R.,Carter,,,R,TX,31,M,http://carter.house.gov,https://carter.house.gov/email-john2,2110 Rayburn House Office Building,C001051,49296,H2TX31044,400068,N00025095,JudgeCarter,http://www.opencongress.org/wiki/John_Carter,11/6/1941,Rep.Carter@opencongress.org,0,0,0
Rep,Tom,,Cole,,,R,OK,4,M,http://cole.house.gov,https://coleforms.house.gov/contact/default.aspx,2467 Rayburn House Office Building,C001053,46034,H2OK04055,400077,N00025726,TomColeOK04,http://www.opencongress.org/wiki/Tom_Cole,4/28/1949,Rep.Cole@opencongress.org,0,0,0
Sen,John,,Cornyn,,,R,TX,Senior Seat,M,https://www.cornyn.senate.gov,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm,517 Hart Senate Office Building,C001056,15375,S2TX00106,300027,N00024852,JohnCornyn,http://www.opencongress.org/wiki/John_Cornyn,2/2/1952,Sen.Cornyn@opencongress.org,0,0,0
Rep,Jim,,Costa,,,D,CA,16,M,https://costa.house.gov,http://www.house.gov/formcosta/issue.htm,1314 Longworth House Office Building,C001059,3577,H4CA20082,400618,N00026341,RepJimCosta,http://www.opencongress.org/wiki/Jim_Costa,4/13/1952,Rep.Costa@opencongress.org,0,1,0
Rep,Emanuel,,Cleaver,II,,D,MO,5,M,http://cleaver.house.gov,https://cleaver.house.gov/contact/email-me,2335 Rayburn House Office Building,C001061,39507,H4MO05234,400639,N00026790,RepCleaver,http://www.opencongress.org/wiki/Emanuel_Cleaver,10/26/1944,Rep.Cleaver@opencongress.org,1,0,0
Rep,K.,Michael,Conaway,,,R,TX,11,M,http://conaway.house.gov,https://conaway.house.gov/forms/writeyourrep/default.aspx,2430 Rayburn House Office Building,C001062,49935,H4TX19136,400655,N00026041,ConawayTX11,http://www.opencongress.org/wiki/K._Michael_Conaway,6/11/1948,Rep.Conaway@opencongress.org,0,0,0
Rep,Henry,,Cuellar,,,D,TX,28,M,http://cuellar.house.gov,https://cuellar.house.gov/forms/writeyourrep/default.aspx,2209 Rayburn House Office Building,C001063,5486,H2TX23082,400657,N00024978,RepCuellar,http://www.opencongress.org/wiki/Henry_Cuellar,9/19/1955,Rep.Cuellar@opencongress.org,0,1,0
Rep,Kathy,,Castor,,,D,FL,14,F,http://castor.house.gov,https://castor.house.gov/contact/contactform.htm,205 Cannon House Office Building,C001066,53825,H6FL11126,412195,N00027514,USRepKCastor,http://www.opencongress.org/wiki/Kathy_Castor,8/20/1966,Rep.Castor@opencongress.org,0,0,0
Rep,Yvette,D.,Clarke,,,D,NY,9,F,http://clarke.house.gov,https://clarke.house.gov/contact/email-me,2351 Rayburn House Office Building,C001067,44741,H4NY11138,412221,N00026961,YvetteClarke,http://www.opencongress.org/wiki/Yvette_Clarke,11/21/1964,Rep.Clarke@opencongress.org,1,0,0
Rep,Steve,,Cohen,,,D,TN,9,M,http://cohen.house.gov,https://cohen.house.gov/contact-me/email-me,2404 Rayburn House Office Building,C001068,24340,H6TN09068,412236,N00003225,RepCohen,http://www.opencongress.org/wiki/Steve_Cohen,5/24/1949,Rep.Cohen@opencongress.org,0,0,0
Rep,Joe,,Courtney,,,D,CT,2,M,http://courtney.house.gov,https://courtney.house.gov/email-joe1,2348 Rayburn House Office Building,C001069,30333,H2CT02112,412193,N00024842,RepJoeCourtney,http://www.opencongress.org/wiki/Joseph_Courtney,4/6/1953,Rep.Courtney@opencongress.org,0,0,0
Sen,Robert,P.,Casey,Jr.,Bob,D,PA,Senior Seat,M,https://www.casey.senate.gov,http://www.casey.senate.gov/contact/,393 Russell Senate Office Building,C001070,2541,S6PA00217,412246,N00027503,SenBobCasey,http://www.opencongress.org/wiki/Robert_Casey,4/13/1960,Sen.Casey@opencongress.org,0,0,0
Sen,Bob,,Corker,,,R,TN,Junior Seat,M,http://www.corker.senate.gov,http://www.corker.senate.gov/public/index.cfm/emailme,425 Dirksen Senate Office Building,C001071,65905,S6TN00216,412248,N00027441,SenBobCorker,http://www.opencongress.org/wiki/Bob_Corker,8/24/1952,Sen.Corker@opencongress.org,0,0,0
Rep,André,,Carson,,,D,IN,7,M,http://carson.house.gov,https://carson.house.gov/contact/email-me,2453 Rayburn House Office Building,C001072,84917,H8IN07184,412258,N00029513,RepAndreCarson,http://www.opencongress.org/wiki/Andre_Carson,10/16/1974,Rep.Carson@opencongress.org,1,0,0
